id;locale;code;gmt;order_fee;user_cash
208193894;AU;ads;2016/4/27 18:59;828.5772;828.5772
927332017;US;blogs;2016/4/27 15:28;0;50.03465
647021873;US;blogs;2016/4/27 15:15;0;49.58909
801871665;US;blogs;2016/4/27 12:17;0;0
859703461;TW;blogs;2016/4/27 9:26;0;0
428761382;TW;blogs;2016/4/27 6:40;0;0
377094207;MY;blogs;2016/4/26 21:35;0;28.50075
625874803;US;blogs;2016/4/26 20:35;0;338.106126
994171436;AU;ads;2016/4/26 19:23;8218.5772;8128.5772
192910730;US;blogs;2016/4/26 14:57;122.491429;7503.531884
399030575;US;blogs;2016/4/26 14:16;0;0
994292390;AU;ads;2016/4/26 11:57;828.5772;828.5772
888572951;AU;blogs;2016/4/26 11:38;0;0
888572951;AU;blogs;2016/4/26 9:25;0;0
888572951;AU;blogs;2016/4/26 7:22;0;0
19453863;US;blogs;2016/4/26 2:49;62.771;62.771
19453863;US;blogs;2016/4/26 2:48;62.771;62.771
19453863;US;blogs;2016/4/26 2:24;0;0
719267496;AU;ads;2016/4/25 22:50;828.5772;828.5772
640093215;MY;ads;2016/4/25 18:34;753.252;753.252
760631189;US;blogs;2016/4/25 18:09;0;0
913202978;MY;blogs;2016/4/25 17:45;0;0
560333375;KR;blogs;2016/4/25 15:44;0;0
625510917;US;blogs;2016/4/25 11:13;0;0
268708265;US;blogs;2016/4/25 9:35;0;0
114777529;SG;blogs;2016/4/25 9:29;0;0
603595380;MX;blogs;2016/4/25 5:13;0;0
767382879;US;blogs;2016/4/24 15:39;0;3.013008
552580879;MY;blogs;2016/4/24 15:01;0;0
973555970;AE;ads;2016/4/24 14:10;753.252;753.252
888572951;AU;blogs;2016/4/24 9:43;0;0
985652900;US;blogs;2016/4/24 9:30;0;0
998711929;AU;ads;2016/4/24 8:16;828.5772;828.5772
888572951;AU;blogs;2016/4/24 7:31;0;0
516695816;MA;blogs;2016/4/24 5:05;0;0
878665537;IN;blogs;2016/4/24 2:47;0;0
332175447;MX;blogs;2016/4/23 22:15;0;0
471320242;DK;blogs;2016/4/23 16:18;0;0
464845061;AU;blogs;2016/4/23 14:33;13.746849;13.746849
376844402;ES;blogs;2016/4/23 13:29;0;113.7492
329432062;US;ads;2016/4/23 10:06;753.252;1863.4924
941567918;MY;blogs;2016/4/23 0:23;0;0
941567918;MY;blogs;2016/4/23 0:21;0;0
779376535;PK;blogs;2016/4/22 23:13;0;0
393599316;MY;blogs;2016/4/22 22:58;0;0
114639155;IN;blogs;2016/4/22 20:14;0;0
379596048;MY;blogs;2016/4/22 19:55;0;0
324310995;IE;blogs;2016/4/22 5:14;15.378895;15.378895
292109829;US;blogs;2016/4/22 4:03;0;116.346395
270942942;NG;blogs;2016/4/22 2:59;0;0
966621918;US;blogs;2016/4/22 0:31;0;278.912027
377225858;US;blogs;2016/4/22 0:26;0;0
208477228;TW;blogs;2016/4/21 22:35;0;0
224167868;SA;blogs;2016/4/21 16:42;0;0
379591422;ID;blogs;2016/4/21 15:25;0;0
325724059;DO;blogs;2016/4/21 2:19;0;0
469075788;US;blogs;2016/4/20 18:41;0;0
213548790;FR;blogs;2016/4/20 16:45;0;0
956624915;US;blogs;2016/4/20 12:02;0;0
